title,company,location,duration,stipend,hiring_since,oppor_posted,perks,skills,openings
Graphic Design,Touchkin EServices Private Limited,Work From Home,6 Months," 15,000-20,000 /month",Hiring since March 2016,48 opportunities posted,Flexible work hours,"Adobe After Effects,Adobe Illustrator,Animation",2
Content Writing,Folkstrong Private Limited,Noida,3 Months," 8,000-10,000 /month",Hiring since November 2022,1 opportunity posted,5 days a week,"Blogging,Creative Writing,English Proficiency (Spoken),English Proficiency (Written),Search Engine Optimization (SEO)",1
Graphic Design,Quack Quack Communications,Work From Home,3 Months," 7,000 /month",Hiring since October 2020,26 opportunities posted,"Certificate,Letter of recommendation,Job offer","Adobe After Effects,Adobe Creative Suite,Adobe Illustrator,Adobe Indesign,Adobe Photoshop,Adobe Photoshop Lightroom CC,Adobe Premiere Pro,Autodesk Maya,Blender 3D,Final Cut Pro,UI & UX Design,Video Editing",2
Content Development (English),Brandquest,Panaji,3 Months," 5,000 /month",Hiring since April 2019,86 opportunities posted,"Certificate,Letter of recommendation,Flexible work hours,Informal dress code,5 days a week","Adobe Photoshop,Blogging,Canva,Creative Writing,Photography,Video Editing,Video Making",1
Social Media Marketing,Quack Quack Communications,Work From Home,3 Months," 8,000 /month",Hiring since October 2020,26 opportunities posted,"Certificate,Letter of recommendation","Creative Writing,Digital Marketing,English Proficiency (Spoken),English Proficiency (Written),Instagram Marketing,MS-Office,Search Engine Marketing (SEM),Search Engine Optimization (SEO),Social Media Marketing,Video Editing,Video Making",2
Marketing,Shaft Energies Private Limited,Delhi,3 Months," 5,000 /month",Hiring since February 2019,25 opportunities posted,"Certificate,Letter of recommendation,Informal dress code,5 days a week,Job offer","Email Marketing,English Proficiency (Written),Hindi Proficiency (Spoken),MS-Excel,MS-Office",1
Social Media Marketing,Consistent HR Solutions,Work From Home,3 Months," 1,000 lump sum +  Incentives",Hiring since November 2022,3 opportunities posted,"Certificate,Letter of recommendation","Digital Marketing,English Proficiency (Spoken),English Proficiency (Written),Facebook Marketing,Instagram Marketing,Search Engine Marketing (SEM),Search Engine Optimization (SEO),Social Media Marketing",2
Human Resources (HR),Onlinecourseing,Work From Home,3 Months," 7,000-8,000 /month",Hiring since November 2022,1 opportunity posted,Certificate,,2
Online Teaching,StayQrious India Private Limited,Work From Home,3 Months," 15,000 /month",Hiring since November 2022,1 opportunity posted,Certificate,,15
Web Development,Ethical Edufabrica Private Limited,Delhi,1 Month," 8,000 /month",Hiring since May 2022,6 opportunities posted,"Certificate,Letter of recommendation,Flexible work hours,Informal dress code,5 days a week",,1
Market Research,Fragma Data Systems,Chennai,6 Months," 15,000 /month",Hiring since November 2022,1 opportunity posted,,,2
Graphic Design,Igniad Media,Work From Home,3 Months," 10,000 /month",Hiring since December 2019,59 opportunities posted,"Certificate,Letter of recommendation,Flexible work hours,5 days a week","Adobe After Effects,Adobe Illustrator,Adobe Photoshop,Adobe Premiere Pro,Video Editing",3
Operations,The Speaking Bird,Work From Home,1 Month," 1,000 /month +  Incentives",Hiring since November 2022,1 opportunity posted,"Certificate,Letter of recommendation",English Proficiency (Spoken),1
Content Writing,Sai Shankar Rudra,Work From Home,6 Months," 2,000 /month",Hiring since October 2021,10 opportunities posted,"Certificate,Flexible work hours",,2
Marketing,LA ITALIA MARBLES,Hyderabad,3 Months," 10,000 /month +  Incentives",Hiring since September 2020,5 opportunities posted,"Certificate,Letter of recommendation,Flexible work hours,5 days a week,Free snacks & beverages,Job offer",English Proficiency (Spoken),3
Digital Marketing,Alpha Think (Study Abroad),Work From Home,2 Months," 1,000 /month",Hiring since September 2022,17 opportunities posted,"Certificate,Flexible work hours",,1
Social Media Marketing,Saishah Joseph,Work From Home,6 Months," 7,000 /month",Hiring since October 2021,7 opportunities posted,"Certificate,Flexible work hours","Facebook Marketing,Instagram Marketing,Social Media Marketing",1
Software Engineering (Solving),Bytelearn,Work From Home,4 Months," 15,000-20,000 /month",Hiring since August 2022,4 opportunities posted,"Certificate,Letter of recommendation,Flexible work hours,5 days a week","C++ Programming,Python",13
Business Development (Sales),Saransh's Design Studio,Work From Home,3 Months," 10,000 /month",Hiring since March 2021,41 opportunities posted,"Certificate,Letter of recommendation","English Proficiency (Spoken),English Proficiency (Written)",2
Social Science Education,Refining Skills Academy (RS Academy),Bangalore,6 Months," 8,000-10,000 /month",Hiring since November 2022,1 opportunity posted,"Certificate,Letter of recommendation","English Proficiency (Spoken),English Proficiency (Written),MS-Office,Teaching",2
Content Writing,Technotreon Intellectual Ventures,Work From Home,1 Month," 3,000 /month",Hiring since October 2019,50 opportunities posted,"Certificate,Letter of recommendation,Flexible work hours,5 days a week","Blogging,Creative Writing,English Proficiency (Spoken),English Proficiency (Written),MS-Word,Search Engine Optimization (SEO)",2
Graphic Design,Shalini's Indian Fashions,Ghaziabad,6 Months," 6,000 /month",Hiring since October 2020,6 opportunities posted,"Certificate,Letter of recommendation,Informal dress code,5 days a week,Free snacks & beverages,Job offer","Adobe After Effects,Adobe Illustrator,Adobe Photoshop,Adobe Photoshop Lightroom CC,Video Editing",1
Mobile App Development,Analysed,Work From Home,3 Months," 5,000 /month",Hiring since July 2019,79 opportunities posted,"Certificate,Letter of recommendation,Flexible work hours,5 days a week","Android,iOS,Java,Swift,Xcode",20
Human Resources (HR),IIDE Education Private Limited,Mumbai,6 Months," 5,000 /month",Hiring since March 2021,194 opportunities posted,Letter of recommendation,"English Proficiency (Spoken),English Proficiency (Written),Google Workspace,MS-Office,Recruitment,Report Writing",1
Event Management,IBC Media,Bangalore,4 Months," 10,000-12,000 /month",Hiring since June 2022,7 opportunities posted,"Certificate,Letter of recommendation,Flexible work hours","English Proficiency (Spoken),English Proficiency (Written),Event Management,MS-Excel,MS-Office,MS-PowerPoint",2
Human Resources (HR),Flyvheel Digital Solutions Private Limited,Gurgaon,3 Months," 10,000 /month",Hiring since May 2022,46 opportunities posted,"Certificate,Letter of recommendation,Informal dress code,Job offer","English Proficiency (Spoken),English Proficiency (Written),MS-Office,Recruitment",6
Graphic Design,Midinnings,Udaipur,3 Months," 10,000 /month",Hiring since October 2019,96 opportunities posted,"Certificate,Letter of recommendation,Free snacks & beverages,Job offer",Adobe Creative Suite,2
Social Media Marketing,Midinnings,Udaipur,3 Months," 8,000-12,000 /month",Hiring since October 2019,96 opportunities posted,"Certificate,Free snacks & beverages,Job offer",Social Media Marketing,2
Business Development (Sales),Second Tongue (Institute Of Languages),Navi Mumbai,6 Months," 12,000 /month",Hiring since February 2018,16 opportunities posted,"Certificate,Letter of recommendation","Digital Marketing,Email Marketing,English Proficiency (Spoken),English Proficiency (Written),MS-Excel,Social Media Marketing",1
Human Resources (HR),ARA Resources Private Limited,Work From Home,6 Months," 12,000 /month",Hiring since January 2019,7 opportunities posted,"Certificate,Letter of recommendation,5 days a week,Job offer","English Proficiency (Spoken),English Proficiency (Written),MS-Excel",2
Content Writing,Blue Rose Publishers,Noida,3 Months," 15,000 /month",Hiring since May 2017,580 opportunities posted,"Flexible work hours,Informal dress code,Free snacks & beverages","Creative Writing,English Proficiency (Spoken),English Proficiency (Written)",1
WordPress Development,Meru Accounting,Work From Home,6 Months," 5,000-10,000 /month",Hiring since November 2016,109 opportunities posted,Flexible work hours,"CSS,HTML,JavaScript,PHP,Search Engine Optimization (SEO),WordPress",4
Finance,Taal Fintech LLP,Noida,3 Months," 18,000 /month",Hiring since November 2022,1 opportunity posted,"Letter of recommendation,Informal dress code,5 days a week,Free snacks & beverages",Financial Modeling,1
Graphic Design,Wilson Wings Private Limited,Bangalore,3 Months," 5,000 /month",Hiring since November 2022,2 opportunities posted,"Certificate,Letter of recommendation","Adobe Illustrator,Adobe Photoshop",2
Content Writing,FxA,Work From Home,3 Months," 1,500 /month +  Incentives",Hiring since November 2022,1 opportunity posted,"Certificate,Letter of recommendation,Flexible work hours,5 days a week","Blogging,Content Writing,Creative Writing,English Proficiency (Written),Search Engine Optimization (SEO)",1
Graphic Design,Helpiez.org,Work From Home,2 Months,Unpaid,Hiring since October 2014,19 opportunities posted,"Certificate,Letter of recommendation,Flexible work hours,5 days a week","Adobe After Effects,Adobe Creative Suite,Adobe Illustrator,Adobe Indesign,Adobe Photoshop,Adobe Photoshop Lightroom CC,Adobe Premiere Pro,CorelDRAW,UI & UX Design,Video Editing",4
Content Writing,Dharohar Aroma,Noida,2 Months," 2,000 /month +  Incentives",Hiring since November 2022,3 opportunities posted,"Certificate,Letter of recommendation,Flexible work hours,Informal dress code","Blogging,Creative Writing,Digital Marketing,English Proficiency (Spoken),English Proficiency (Written),Search Engine Optimization (SEO),Social Media Marketing",1
Web Development,Sparks To Ideas,Ahmedabad,6 Months," 5,000 /month",Hiring since November 2017,93 opportunities posted,"Certificate,Letter of recommendation,5 days a week","JavaScript,Node.js,PHP,ReactJS",10
Content Writing,The Turning Point,Delhi,4 Months," 7,000 /month",Hiring since November 2022,1 opportunity posted,"Certificate,Flexible work hours","Blogging,Creative Writing,Digital Marketing,English Proficiency (Written),Social Media Marketing",1
Marketing,Future Promos & Events Private Limited,Mumbai,5 Months," 15,000-20,000 /month",Hiring since March 2017,20 opportunities posted,"Certificate,Letter of recommendation,Flexible work hours,5 days a week,Job offer","MS-Excel,MS-PowerPoint",5
Personal Assistance,Fresh Duniya Manpower Private Limited,Work From Home,6 Months," 5,000 /month +  Incentives",Hiring since July 2022,12 opportunities posted,"Certificate,Letter of recommendation",MS-Excel,4
Business Development (Sales),BRS Retail Private Limited,Work From Home,2 Months," 1,000 /month +  Incentives",Hiring since August 2022,2 opportunities posted,"Certificate,Letter of recommendation,Flexible work hours,5 days a week","Email Marketing,Sales and Marketing,Social Media Marketing",5
Business Development (Sales),Enormous Kart,Work From Home,3 Months," 1,000 /month +  Incentives",Hiring since January 2020,74 opportunities posted,"Certificate,Letter of recommendation,Flexible work hours","Digital Marketing,Email Marketing,English Proficiency (Spoken),English Proficiency (Written),MS-Excel,Social Media Marketing",5
Graphic Design,Codeb,Mumbai,3 Months," 10,000 /month",Hiring since March 2018,31 opportunities posted,"Certificate,Letter of recommendation,Flexible work hours,Informal dress code,5 days a week,Job offer","Adobe Illustrator,Adobe Photoshop,Figma,UI & UX Design",2
E-commerce Management,Tanmay Garments,Delhi,3 Months," 5,000-10,000 /month",Hiring since October 2020,11 opportunities posted,"Certificate,Informal dress code,Free snacks & beverages",,40
Web Development,Prime Valley,Delhi,3 Months," 10,000 /month",Hiring since September 2022,4 opportunities posted,"Certificate,Letter of recommendation,Flexible work hours","CSS,HTML,JavaScript,WordPress",2
Web Development,MAG Studios,Work From Home,6 Months," 8,000 /month",Hiring since February 2017,154 opportunities posted,"Certificate,Letter of recommendation,Flexible work hours,5 days a week,Job offer","jQuery,MySQL,PHP,WordPress",3
Marketing,Duende Designs Private Limited,Pune,6 Months," 5,000 /month",Hiring since May 2021,23 opportunities posted,Certificate,"Digital Marketing,English Proficiency (Spoken),English Proficiency (Written),MS-Office,Social Media Marketing",2
Human Resources (HR),TRUST,Mumbai,6 Months," 15,000 /month",Hiring since June 2021,17 opportunities posted,"Certificate,Letter of recommendation","English Proficiency (Spoken),English Proficiency (Written),MS-Excel,MS-Office,MS-Word",2
Android Development,QuantumLink Communications Private Limited,Pune,3 Months," 15,000-20,000 /month",Hiring since January 2019,17 opportunities posted,"Certificate,Letter of recommendation","Android,Eclipse (IDE),Firebase,Java,Kotlin,REST API,SQLite",2
Business Development (Sales),Jobpedia Solutions Private Limited,Work From Home,6 Months," 5,000 /month +  Incentives",Hiring since November 2022,1 opportunity posted,"Certificate,Letter of recommendation,Flexible work hours,5 days a week","Digital Marketing,English Proficiency (Spoken),English Proficiency (Written)",2
Digital Marketing,MyDareBox,Bangalore,3 Months," 5,000 /month",Hiring since November 2022,1 opportunity posted,Certificate,"Digital Marketing,Email Marketing,Facebook Marketing,Search Engine Marketing (SEM),Search Engine Optimization (SEO),Social Media Marketing",10
